Exit,TOP1_Acc,TOP5_Acc,Loss
Exit_1,20.451831210191084,46.70581210191083,3.4389060029558314
Exit_2,21.64609872611465,48.63654458598726,3.374169217553108
Exit_3,24.014729299363058,52.82643312101911,3.257173882927864
Exit_4,33.09116242038217,64.40087579617834,2.777154737217411
Exit_5,36.3953025477707,67.7547770700637,2.5916031895169787
Exit_6,37.60947452229299,69.43670382165605,2.5349450931427584
Exit_7,38.02746815286624,69.97412420382166,2.5126607782521826
Exit_8,44.45660828025478,76.15445859872611,2.192622534788338
Exit_9,50.55732484076433,80.73248407643312,1.9339231890477953
Exit_10,55.095541401273884,84.39490445859873,1.7372601943410886
Exit_11,73.23845541401273,93.79976114649682,0.9740312816990409
Exit_12,76.15445859872611,95.16321656050955,0.8537442255172001
Exit_13,79.48845541401273,96.39729299363057,0.7394566767534633
Exit_14,80.59315286624204,96.6859076433121,0.6975376326946696
Exit_15,81.53861464968153,96.765525477707,0.6732295666150986
Exit_16,85.89769108280255,97.70103503184713,0.5416437146390319
Exit_17,87.1218152866242,97.88017515923566,0.547968047060025
